1.81312e-04 4.89280e+02  -4.89276e+02 0.00000e+00 
1.81833e-04 4.94922e+02  -4.94917e+02 0.00000e+00 
1.82354e-04 5.00613e+02  -5.00609e+02 0.00000e+00 
1.82875e-04 5.06358e+02  -5.06354e+02 0.00000e+00 
1.83396e-04 5.12154e+02  -5.12149e+02 0.00000e+00 
1.83917e-04 5.17997e+02  -5.17993e+02 0.00000e+00 
1.84438e-04 5.23887e+02  -5.23883e+02 0.00000e+00 
1.84958e-04 5.29825e+02  -5.29821e+02 0.00000e+00 
1.85479e-04 5.35816e+02  -5.35812e+02 0.00000e+00 
1.86000e-04 5.41862e+02  -5.41857e+02 0.00000e+00 
1.86521e-04 5.47959e+02  -5.47955e+02 0.00000e+00 
1.87042e-04 5.54104e+02  -5.54100e+02 0.00000e+00 
1.87563e-04 5.60298e+02  -5.60293e+02 0.00000e+00 
1.88084e-04 5.66542e+02  -5.66538e+02 0.00000e+00 
1.88605e-04 5.72843e+02  -5.72839e+02 0.00000e+00 
1.89126e-04 5.79200e+02  -5.79196e+02 0.00000e+00 
1.89647e-04 5.85609e+02  -5.85604e+02 0.00000e+00 
1.90168e-04 5.92066e+02  -5.92062e+02 0.00000e+00 
1.90689e-04 5.98573e+02  -5.98569e+02 0.00000e+00 
1.91210e-04 6.05136e+02  -6.05132e+02 0.00000e+00 
1.91731e-04 6.11757e+02  -6.11753e+02 0.00000e+00 
1.92252e-04 6.18435e+02  -6.18430e+02 0.00000e+00 
1.92772e-04 6.25165e+02  -6.25160e+02 0.00000e+00 
1.93293e-04 6.31944e+02  -6.31940e+02 0.00000e+00 
1.93814e-04 6.38777e+02  -6.38773e+02 0.00000e+00 
1.94335e-04 6.45669e+02  -6.45664e+02 0.00000e+00 
1.94856e-04 6.52621e+02  -6.52616e+02 0.00000e+00 
1.95377e-04 6.59629e+02  -6.59625e+02 0.00000e+00 
1.95898e-04 6.66690e+02  -6.66685e+02 0.00000e+00 
1.96419e-04 6.73803e+02  -6.73798e+02 0.00000e+00 
1.96940e-04 6.80973e+02  -6.80968e+02 0.00000e+00 
1.97461e-04 6.88205e+02  -6.88200e+02 0.00000e+00 
1.97982e-04 6.95498e+02  -6.95493e+02 0.00000e+00 
1.98503e-04 7.02847e+02  -7.02842e+02 0.00000e+00 
1.99024e-04 7.10249e+02  -7.10245e+02 0.00000e+00 
1.99545e-04 7.17707e+02  -7.17702e+02 0.00000e+00 
2.00065e-04 7.25225e+02  -7.25220e+02 0.00000e+00 
2.00586e-04 7.32808e+02  -7.32803e+02 0.00000e+00 
2.01107e-04 7.40452e+02  -7.40447e+02 0.00000e+00 
2.01628e-04 7.48153e+02  -7.48148e+02 0.00000e+00 
2.02149e-04 7.55908e+02  -7.55903e+02 0.00000e+00 
2.02670e-04 7.63722e+02  -7.63717e+02 0.00000e+00 
2.03191e-04 7.71600e+02  -7.71595e+02 0.00000e+00 
2.03712e-04 7.79544e+02  -7.79539e+02 0.00000e+00 
2.04233e-04 7.87551e+02  -7.87545e+02 0.00000e+00 
2.04754e-04 7.95613e+02  -7.95608e+02 0.00000e+00 
2.05275e-04 8.03732e+02  -8.03727e+02 0.00000e+00 
2.05796e-04 8.11914e+02  -8.11909e+02 0.00000e+00 
2.06317e-04 8.20164e+02  -8.20159e+02 0.00000e+00 
2.06837e-04 8.28481e+02  -8.28476e+02 0.00000e+00 
2.07358e-04 8.36859e+02  -8.36854e+02 0.00000e+00 
2.07879e-04 8.45295e+02  -8.45289e+02 0.00000e+00 
2.08400e-04 8.53790e+02  -8.53785e+02 0.00000e+00 
2.08921e-04 8.62353e+02  -8.62347e+02 0.00000e+00 
2.09442e-04 8.70985e+02  -8.70980e+02 0.00000e+00 
2.09963e-04 8.79685e+02  -8.79680e+02 0.00000e+00 
2.10484e-04 8.88446e+02  -8.88441e+02 0.00000e+00 
2.11005e-04 8.97266e+02  -8.97261e+02 0.00000e+00 
2.11526e-04 9.06150e+02  -9.06145e+02 0.00000e+00 
2.12047e-04 9.15105e+02  -9.15100e+02 0.00000e+00 
2.12568e-04 9.24132e+02  -9.24127e+02 0.00000e+00 
2.13088e-04 9.33226e+02  -9.33220e+02 0.00000e+00 
2.13609e-04 9.42380e+02  -9.42375e+02 0.00000e+00 
2.14130e-04 9.51597e+02  -9.51591e+02 0.00000e+00 
