1.49534e-04 2.26391e+02  -2.26388e+02 0.00000e+00 
1.50055e-04 2.29561e+02  -2.29559e+02 0.00000e+00 
1.50576e-04 2.32766e+02  -2.32763e+02 0.00000e+00 
1.51097e-04 2.36004e+02  -2.36001e+02 0.00000e+00 
1.51618e-04 2.39275e+02  -2.39272e+02 0.00000e+00 
1.52139e-04 2.42579e+02  -2.42576e+02 0.00000e+00 
1.52660e-04 2.45917e+02  -2.45914e+02 0.00000e+00 
1.53181e-04 2.49290e+02  -2.49287e+02 0.00000e+00 
1.53702e-04 2.52698e+02  -2.52695e+02 0.00000e+00 
1.54223e-04 2.56141e+02  -2.56138e+02 0.00000e+00 
1.54744e-04 2.59619e+02  -2.59616e+02 0.00000e+00 
1.55264e-04 2.63131e+02  -2.63128e+02 0.00000e+00 
1.55785e-04 2.66679e+02  -2.66676e+02 0.00000e+00 
1.56306e-04 2.70263e+02  -2.70260e+02 0.00000e+00 
1.56827e-04 2.73884e+02  -2.73881e+02 0.00000e+00 
1.57348e-04 2.77541e+02  -2.77538e+02 0.00000e+00 
1.57869e-04 2.81233e+02  -2.81230e+02 0.00000e+00 
1.58390e-04 2.84962e+02  -2.84958e+02 0.00000e+00 
1.58911e-04 2.88728e+02  -2.88725e+02 0.00000e+00 
1.59432e-04 2.92533e+02  -2.92530e+02 0.00000e+00 
1.59953e-04 2.96375e+02  -2.96372e+02 0.00000e+00 
1.60474e-04 3.00253e+02  -3.00250e+02 0.00000e+00 
1.60995e-04 3.04169e+02  -3.04166e+02 0.00000e+00 
1.61516e-04 3.08123e+02  -3.08120e+02 0.00000e+00 
1.62037e-04 3.12117e+02  -3.12114e+02 0.00000e+00 
1.62558e-04 3.16151e+02  -3.16147e+02 0.00000e+00 
1.63079e-04 3.20222e+02  -3.20219e+02 0.00000e+00 
1.63600e-04 3.24332e+02  -3.24328e+02 0.00000e+00 
1.64121e-04 3.28480e+02  -3.28477e+02 0.00000e+00 
