1.23548e-04 3.00885e+02  -3.00883e+02 0.00000e+00 
1.23888e-04 3.03832e+02  -3.03830e+02 0.00000e+00 
1.24229e-04 3.06802e+02  -3.06800e+02 0.00000e+00 
1.24569e-04 3.09794e+02  -3.09792e+02 0.00000e+00 
1.24909e-04 3.12809e+02  -3.12807e+02 0.00000e+00 
1.25250e-04 3.15847e+02  -3.15845e+02 0.00000e+00 
1.25590e-04 3.18907e+02  -3.18905e+02 0.00000e+00 
1.25930e-04 3.21991e+02  -3.21989e+02 0.00000e+00 
1.26271e-04 3.25097e+02  -3.25095e+02 0.00000e+00 
1.26611e-04 3.28226e+02  -3.28224e+02 0.00000e+00 
1.26951e-04 3.31379e+02  -3.31377e+02 0.00000e+00 
1.27292e-04 3.34554e+02  -3.34552e+02 0.00000e+00 
1.27632e-04 3.37754e+02  -3.37752e+02 0.00000e+00 
1.27972e-04 3.40977e+02  -3.40974e+02 0.00000e+00 
1.28313e-04 3.44223e+02  -3.44221e+02 0.00000e+00 
1.28653e-04 3.47494e+02  -3.47492e+02 0.00000e+00 
1.28993e-04 3.50788e+02  -3.50786e+02 0.00000e+00 
1.29334e-04 3.54107e+02  -3.54105e+02 0.00000e+00 
1.29674e-04 3.57450e+02  -3.57448e+02 0.00000e+00 
1.30014e-04 3.60817e+02  -3.60815e+02 0.00000e+00 
1.30354e-04 3.64208e+02  -3.64206e+02 0.00000e+00 
1.30695e-04 3.67624e+02  -3.67622e+02 0.00000e+00 
1.31035e-04 3.71064e+02  -3.71062e+02 0.00000e+00 
1.31375e-04 3.74530e+02  -3.74528e+02 0.00000e+00 
1.31716e-04 3.78021e+02  -3.78018e+02 0.00000e+00 
1.32056e-04 3.81536e+02  -3.81534e+02 0.00000e+00 
1.32396e-04 3.85077e+02  -3.85075e+02 0.00000e+00 
1.32737e-04 3.88643e+02  -3.88641e+02 0.00000e+00 
1.33077e-04 3.92234e+02  -3.92232e+02 0.00000e+00 
1.33417e-04 3.95851e+02  -3.95849e+02 0.00000e+00 
1.33758e-04 3.99493e+02  -3.99491e+02 0.00000e+00 
1.34098e-04 4.03162e+02  -4.03159e+02 0.00000e+00 
