9.79821e-03 3.76347e+09  -3.76345e+09 0.00000e+00 
9.82541e-03 3.80537e+09  -3.80534e+09 0.00000e+00 
9.85261e-03 3.84762e+09  -3.84759e+09 0.00000e+00 
9.87981e-03 3.89022e+09  -3.89019e+09 0.00000e+00 
9.90701e-03 3.93316e+09  -3.93313e+09 0.00000e+00 
9.93422e-03 3.97647e+09  -3.97644e+09 0.00000e+00 
9.96142e-03 4.02013e+09  -4.02010e+09 0.00000e+00 
9.98862e-03 4.06415e+09  -4.06412e+09 0.00000e+00 
1.00158e-02 4.10852e+09  -4.10849e+09 0.00000e+00 
1.00430e-02 4.15327e+09  -4.15324e+09 0.00000e+00 
1.00702e-02 4.19837e+09  -4.19834e+09 0.00000e+00 
1.00974e-02 4.24384e+09  -4.24381e+09 0.00000e+00 
1.01246e-02 4.28968e+09  -4.28965e+09 0.00000e+00 
1.01518e-02 4.33589e+09  -4.33586e+09 0.00000e+00 
1.01790e-02 4.38247e+09  -4.38244e+09 0.00000e+00 
1.02062e-02 4.42943e+09  -4.42939e+09 0.00000e+00 
1.02334e-02 4.47676e+09  -4.47672e+09 0.00000e+00 
1.02606e-02 4.52446e+09  -4.52443e+09 0.00000e+00 
1.02878e-02 4.57255e+09  -4.57252e+09 0.00000e+00 
1.03150e-02 4.62102e+09  -4.62099e+09 0.00000e+00 
1.03422e-02 4.66987e+09  -4.66984e+09 0.00000e+00 
1.03694e-02 4.71911e+09  -4.71908e+09 0.00000e+00 
1.03966e-02 4.76874e+09  -4.76870e+09 0.00000e+00 
1.04238e-02 4.81875e+09  -4.81872e+09 0.00000e+00 
1.04510e-02 4.86916e+09  -4.86913e+09 0.00000e+00 
1.04782e-02 4.91996e+09  -4.91993e+09 0.00000e+00 
1.05054e-02 4.97116e+09  -4.97112e+09 0.00000e+00 
1.05326e-02 5.02275e+09  -5.02272e+09 0.00000e+00 
1.05598e-02 5.07475e+09  -5.07471e+09 0.00000e+00 
1.05870e-02 5.12714e+09  -5.12711e+09 0.00000e+00 
1.06142e-02 5.17995e+09  -5.17991e+09 0.00000e+00 
1.06414e-02 5.23315e+09  -5.23312e+09 0.00000e+00 
1.06686e-02 5.28677e+09  -5.28674e+09 0.00000e+00 
1.06958e-02 5.34080e+09  -5.34076e+09 0.00000e+00 
1.07230e-02 5.39524e+09  -5.39520e+09 0.00000e+00 
1.07502e-02 5.45009e+09  -5.45006e+09 0.00000e+00 
1.07774e-02 5.50536e+09  -5.50533e+09 0.00000e+00 
1.08046e-02 5.56106e+09  -5.56102e+09 0.00000e+00 
1.08318e-02 5.61717e+09  -5.61713e+09 0.00000e+00 
1.08590e-02 5.67370e+09  -5.67366e+09 0.00000e+00 
1.08862e-02 5.73066e+09  -5.73062e+09 0.00000e+00 
1.09134e-02 5.78804e+09  -5.78801e+09 0.00000e+00 
1.09406e-02 5.84586e+09  -5.84582e+09 0.00000e+00 
1.09678e-02 5.90410e+09  -5.90407e+09 0.00000e+00 
1.09950e-02 5.96278e+09  -5.96275e+09 0.00000e+00 
1.10222e-02 6.02190e+09  -6.02186e+09 0.00000e+00 
1.10494e-02 6.08145e+09  -6.08141e+09 0.00000e+00 
1.10766e-02 6.14144e+09  -6.14141e+09 0.00000e+00 
