1.17721e-04 4.72115e-07  -4.60404e-07 2.14094e-16 
1.18127e-04 5.86860e-07  -5.56751e-07 -2.31176e-16 
1.18533e-04 1.00418e-06  -9.69220e-07 2.16350e-16 
1.18939e-04 1.63635e-06  -1.61376e-06 -2.32719e-16 
1.19345e-04 2.16244e-06  -2.15408e-06 2.17305e-16 
1.19751e-04 2.28238e-06  -2.27679e-06 -2.33163e-16 
1.20157e-04 1.94042e-06  -1.92480e-06 2.17722e-16 
1.20563e-04 1.35080e-06  -1.32062e-06 -2.33774e-16 
1.20968e-04 8.42704e-07  -8.07752e-07 2.18914e-16 
1.21374e-04 6.13844e-07  -5.91952e-07 -2.35489e-16 
1.21780e-04 5.93544e-07  -5.89636e-07 2.21193e-16 
1.22186e-04 5.98593e-07  -5.95255e-07 -2.37969e-16 
1.22592e-04 6.15533e-07  -5.93982e-07 2.23726e-16 
1.22998e-04 8.21181e-07  -7.85188e-07 -2.40150e-16 
1.23404e-04 1.30492e-06  -1.27392e-06 2.25506e-16 
1.23810e-04 1.88103e-06  -1.86599e-06 -2.41328e-16 
1.24216e-04 2.22210e-06  -2.21723e-06 2.26305e-16 
1.24622e-04 2.12207e-06  -2.11399e-06 -2.41824e-16 
1.25027e-04 1.63740e-06  -1.61555e-06 2.26931e-16 
1.25433e-04 1.04691e-06  -1.01221e-06 -2.42730e-16 
1.25839e-04 6.55984e-07  -6.23916e-07 2.28445e-16 
1.26245e-04 5.59908e-07  -5.46023e-07 -2.44729e-16 
1.26651e-04 6.11113e-07  -6.10360e-07 2.30910e-16 
1.27057e-04 6.62651e-07  -6.53522e-07 -2.47225e-16 
1.27463e-04 7.74255e-07  -7.45888e-07 2.33262e-16 
1.27869e-04 1.09446e-06  -1.05870e-06 -2.49058e-16 
1.28275e-04 1.59851e-06  -1.57303e-06 2.34641e-16 
1.28680e-04 2.04103e-06  -2.03061e-06 -2.49928e-16 
1.29086e-04 2.15446e-06  -2.15002e-06 2.35354e-16 
1.29492e-04 1.85988e-06  -1.84741e-06 -2.50584e-16 
1.29898e-04 1.33028e-06  -1.30209e-06 2.36306e-16 
1.30304e-04 8.70432e-07  -8.34795e-07 -2.51818e-16 
1.30710e-04 6.70264e-07  -6.45956e-07 2.38012e-16 
1.31116e-04 6.55942e-07  -6.49892e-07 -2.53815e-16 
1.31522e-04 6.41702e-07  -6.38494e-07 2.40345e-16 
1.31928e-04 6.11959e-07  -5.93208e-07 -2.56173e-16 
1.32334e-04 7.51679e-07  -7.18508e-07 2.42664e-16 
1.32739e-04 1.18700e-06  -1.15560e-06 -2.58082e-16 
1.33145e-04 1.78479e-06  -1.76679e-06 2.44143e-16 
1.33551e-04 2.22957e-06  -2.22312e-06 -2.58938e-16 
1.33957e-04 2.25492e-06  -2.24831e-06 2.44660e-16 
1.34363e-04 1.83311e-06  -1.81340e-06 -2.59262e-16 
1.34769e-04 1.20761e-06  -1.17344e-06 2.45257e-16 
1.35175e-04 7.10650e-07  -6.77937e-07 -2.60501e-16 
1.35581e-04 4.89768e-07  -4.75304e-07 2.47170e-16 
1.35987e-04 4.46011e-07  -4.45185e-07 -2.63083e-16 
1.36392e-04 4.64713e-07  -4.56298e-07 2.49978e-16 
1.36798e-04 6.09834e-07  -5.82770e-07 -2.65789e-16 
1.37204e-04 1.00924e-06  -9.73971e-07 2.52103e-16 
1.37610e-04 1.61352e-06  -1.58698e-06 -2.67259e-16 
1.38016e-04 2.15436e-06  -2.14306e-06 2.52872e-16 
1.38422e-04 2.33003e-06  -2.32679e-06 -2.67700e-16 
1.38828e-04 2.02662e-06  -2.01650e-06 2.53232e-16 
1.39234e-04 1.41834e-06  -1.39118e-06 -2.68412e-16 
1.39640e-04 8.57742e-07  -8.21117e-07 2.54388e-16 
1.40045e-04 5.92873e-07  -5.66853e-07 -2.70167e-16 
1.40451e-04 5.76651e-07  -5.69902e-07 2.56539e-16 
1.40857e-04 6.04986e-07  -6.03282e-07 -2.72638e-16 
1.41263e-04 6.12780e-07  -5.97201e-07 2.58989e-16 
1.41669e-04 7.42511e-07  -7.11322e-07 -2.74950e-16 
1.42075e-04 1.12707e-06  -1.09413e-06 2.60866e-16 
1.42481e-04 1.68571e-06  -1.66444e-06 -2.76398e-16 
1.42887e-04 2.14399e-06  -2.13664e-06 2.61780e-16 
1.43292e-04 2.22510e-06  -2.22101e-06 -2.77027e-16 
1.43698e-04 1.86494e-06  -1.84838e-06 2.62258e-16 
1.44104e-04 1.28731e-06  -1.25431e-06 -2.77763e-16 
1.44510e-04 8.23689e-07  -7.89933e-07 2.63391e-16 
