Global Internal Force:
 1.1869E+05  1.1869E+05 -2.6231E+05 
s9
Global Internal Force:
 9.2471E+04  9.2471E+04  3.7603E+06 
 9.2471E+04 -9.2471E+04  3.7603E+06 
 1.9931E+05  1.9931E+05 -4.6449E+05 
 1.9931E+05 -1.9931E+05 -4.6449E+05 
 5.5998E+05  5.5998E+05  1.1977E+06 
 5.5998E+05 -5.5998E+05  1.1977E+06 
 3.3189E+05  3.3189E+05  1.5147E+06 
 3.3189E+05 -3.3189E+05  1.5147E+06 
-1.2243E+05 -1.2243E+05 -6.0082E+06 
-1.2243E+05  1.2243E+05 -6.0082E+06 
-9.2471E+04  9.2471E+04  3.7603E+06 
-9.2471E+04 -9.2471E+04  3.7603E+06 
-1.9931E+05  1.9931E+05 -4.6449E+05 
-1.9931E+05 -1.9931E+05 -4.6449E+05 
-5.5998E+05  5.5998E+05  1.1977E+06 
-5.5998E+05 -5.5998E+05  1.1977E+06 

Global Reaction Force:
 0.0000E+00  0.0000E+00  3.7603E+06 
 0.0000E+00  0.0000E+00  3.7603E+06 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00 -6.0082E+06 
 0.0000E+00  0.0000E+00 -6.0082E+06 
 0.0000E+00  0.0000E+00  3.7603E+06 
 0.0000E+00  0.0000E+00  3.7603E+06 
